Epoch,Training Loss,Training Dice,Val Loss,Val Dice,Learning Rate,Duration (s)
1,0.2154,0.5931,0.1871,0.6425,0.0001,2966
2,0.1882,0.6431,0.1759,0.6636,0.0001,2946
3,0.1806,0.6577,0.1712,0.6717,0.0001,2945
4,0.1759,0.6666,0.1694,0.6766,0.0001,2942
5,0.1712,0.6745,0.1639,0.6861,0.0001,2944
6,0.1691,0.679,0.1596,0.6935,0.0001,2942
7,0.1648,0.6857,0.1565,0.6997,0.0001,2941
8,0.1623,0.6914,0.1725,0.6716,0.0001,2943
9,0.1634,0.6889,0.1583,0.6966,0.0001,2942
10,0.1582,0.699,0.1538,0.7048,0.0001,2928
11,0.1568,0.7018,0.1562,0.7005,0.0001,2925
12,0.1542,0.7065,0.1547,0.7031,0.0001,2926
13,0.1534,0.7077,0.1621,0.688,0.0001,2925
14,0.15,0.7142,0.1512,0.7093,5e-05,2963
15,0.1481,0.7177,0.1462,0.7188,5e-05,2925
