Epoch,Training Loss,Training Dice,Val Loss,Val Dice,Learning Rate,Duration (s)
1,0.4163,0.2476,0.4747,0.1064,0.001,807
2,0.2462,0.5301,0.5959,0.1656,0.001,784
3,0.2152,0.5925,0.2275,0.5665,0.001,782
4,0.1977,0.6244,0.2209,0.5814,0.001,782
5,0.1955,0.6288,0.1991,0.623,0.001,783
6,0.1971,0.6256,0.222,0.5801,0.001,783
7,0.1918,0.6347,0.1867,0.6448,0.001,783
8,0.191,0.6367,0.199,0.6209,0.001,781
9,0.1931,0.6326,0.2221,0.5776,0.001,783
10,0.1913,0.636,0.1896,0.6402,0.001,783
11,0.1762,0.6635,0.1737,0.6683,0.0005,788
12,0.1754,0.6652,0.181,0.655,0.0005,790
13,0.1735,0.6685,0.1761,0.663,0.0005,791
14,0.1742,0.6673,0.1796,0.6575,0.0005,789
15,0.1653,0.6838,0.1688,0.6768,0.00025,791
